-3.85733,50.62669,"Sontaran Experiment",""
-3.77356,50.59952,"Sontaran Experiment","Hound Tor"
-3.25411,51.70536,"The Green Death","Metebelis 3"
-4.05851,52.96162,"The Five Doctors","The Eye of Orion"
-0.50902,51.59359,"The Reign of Terror","White Plains"
-0.25701,51.49319,"The Massacre of st Bartholomews","Windmill Road"
-0.55365,51.57958,"The Tomb of the Cybermen","Quarry at Wapseys wood"
-2.69157,53.1118,"The Time Warrior","Peckforton Castle Stone House Lane"
-2.33015,50.66428,"Death to the Daleks","Gallows Hill"
-0.89375,52.2356,"The Talons of Weng Chiang","Swan Street"
-0.51184,51.60137,"The Reign of Terror","Tilehouse Lane"
0.79699,50.93547,"The Chase","Camber Sands"
-0.77207,51.16952,"The Myth Makers","Frensham Little Pond"
-0.25702,51.49313,"The Massacre of st Bartholomews Eve","Windmill Road"
-0.57315,51.4156,"The Gunfighters","Callow Hill Sandpit"
-0.57318,51.41559,"The Savages","Callow Hill Sanbpit"
-0.1234,51.51941,"The War Machines","Bedford Square"
-0.18887,51.49706,"The War Machines","Cornwall Gardens Walk"
-0.78895,51.16571,"The Highlanders","Frensham Ponds"
-2.041,50.59554,"The Underwater Menace","Winspit Quarry"
-0.15805,51.1565,"The Faceless Ones","Gatwick Airport"
-0.34491,51.62076,"The Evil of the Daleks","Grims Dyke House Old Redding"
-4.0746,53.17853,"The Abominable Snowmen","Hant Ffrancon"
-0.57543,50.80787,"The Enemy of the World","Climping Beach"
-0.10235,51.36972,"The Web of Fear","T J Poupart ltd Sheldon Street"
1.43411,51.38856,"Fury from the Deep","Botany Bay"
-0.53267,51.57406,"The Dominators","Oxford Road Gravel Quarry"
-2.31985,52.15404,"The Krotons","West of England Tank Quarry Malvern Road"
-0.15664,51.56571,"The Seeds of Death","Hampstead Heath West"
-0.78045,50.90411,"The War Games","Westdean Church Only Road"
-0.39059,51.50476,"The Ambassadors of Death","Gas Works White Street"
0.32584,51.44633,"The Ambassadors of Death","Blue Circle Cement"
1.32215,51.12654,"The Mind of Evil","Dover Castle"
0.91306,50.95119,"The Claws of Axos","Dungeness Road"
