-3.46503,50.71529,"Exeter, M5 MWSA","+441392436266 Access"
-3.17832,51.47476,"Cardiff, Central Stn","+44290235308 "
-4.12621,53.2284,"Bangor, Menai Centre","+441248371918 "
-3.06125,53.55788,"Formby, Cloisters Centre","+441704833825 Car Park Access"
-3.04152,53.87709,"Cleveleys, Victoia Rd W",""
-2.97739,53.40839,"Liverpool, Lime St Stn",""
-2.88553,53.26496,"Ellesmere Port, Cheshire Oaks","+441513553151 Car Access"
-2.87979,53.35028,"Speke, New Mersey Ret Pk","+441514276942 "
-5.95505,54.5756,"Belfast, Lisburn Rd","+442890687314 "
-4.33303,55.77258,"Newton Mearns, Ayr Rd","+441416399536 "
-2.8704,54.80101,"Southwaite, M6 MWSA SB",""
-4.33439,55.92049,"Bearsden, Drymen Rd","+441419426390 "
-4.26051,55.86128,"Glasgow, Bothwell St","+441412482526 "
-4.25906,55.85957,"Glasgow, Central Stn","+441412486728 "
-3.24267,55.9583,"Edinburgh, Craigleith","+441313433641 "
-3.19322,55.95269,"Edinburgh, Princes St","+441315568582 "
-3.17856,55.97997,"Edinburgh, Ocean Terminal","+441312252301 "
-2.71789,51.8105,"Monmouth, Monnow St","+441600775370 "
-2.16401,51.51023,"Leigh Delamere, M4 MWSA EB","+441666838328 "
-2.15498,51.51016,"Leigh Delamere, M4 MWSA WB","+441666837976 "
-1.20253,51.94862,"Cherwall Valley, M40 MWSA","+441869345889 "
-1.03367,51.42502,"Reading, M4 MWSA EB",""
-1.03248,51.42151,"Reading, M4 MWSA WB",""
-0.93431,51.42323,"Lower Earley, The Square","+441189753578 "
-0.84139,51.28202,"Fleet, Fleet Rd","+441252624912 "
-0.77667,51.57242,"Marlow, Spittal St","+441628485840 "
-0.64521,51.6097,"Beaconsfield, Station Rd","+441494675761 "
-1.89883,52.47784,"Birmingham, New St Stn",""
-2.1685,52.88301,"Stafford, M6 MWSA NB",""
-1.82579,52.68303,"Lichfield, The Spires","+441216434511 "
-2.40015,53.30146,"Knutsford, M6 MWSA SB","+441565625863 "
-2.27414,53.36573,"Manchester, Airport","+441614894592 "
-2.22561,53.01114,"Newcastle under Lyme, Castle Walk","+441782202030 "
-2.286,53.53415,"Prestwich, Bury New Rd","+441617738108 "
-2.23162,53.47769,"Manchester, Piccadilly Stn","+441618317341 "
-2.23173,53.41698,"Didsbury, Wilmslow Rd","+441614453508 "
-1.70873,53.87149,"Guiseley, Leeds Rd","+441943878587 Car Access"
-1.6413,52.60678,"Tamworth, M42 MWSA",""
-1.50563,52.92068,"Derby, Kingsway Ret Pk","+441332370943 Car Access"
-1.12563,52.9318,"West Bridgeford, Albert Rd","+441159817172 "
-1.08364,52.59945,"Oadby, The Parade",""
-1.46323,53.37845,"Sheffield, Rail Station",""
-1.54739,53.79456,"Leeds, Rail Stn","+441133804955 "
-1.45173,53.80424,"Crossgates, Station Rd","+441132649945 "
-1.31271,53.69146,"Pontefract, Beast Fair","+441977557272 "
-0.32877,51.06334,"Horsham, Swan Walk","+441403259355 "
-0.14108,50.82877,"Brighton, Rail Station","+441273748128 "
-0.45113,51.47131,"Heathrow, Airport","+442087548167 "
-0.33027,51.44556,"Twickenham, King St","+442085499933 "
-0.32912,51.42733,"Teddington, High St","+442089776037 "
-0.30549,51.39256,"Surbiton, Victoria Rd","+442085499933 "
-0.2085,51.23767,"Reigate, High St","+441737223372 "
-0.20416,51.32217,"Banstead, High St","+442072299515 "
-0.19219,51.49152,"Earls Court, Earls Court Rd","+442073705894 "
-0.17877,51.48723,"South Kensington, Fulham Rd","+442073526073 "
-0.16774,51.49732,"Knightsbridge, Brompton Rd","+442075897954 "
-0.19941,51.50868,"London, Notting Hill Gate",""
-0.17709,51.51756,"London, Paddington Stn",""
-0.17568,51.54421,"Swiss Cottage, Finchley Rd","+442072299515 "
-0.16547,51.55403,"Hampstead, Pond St",""
-0.15225,51.44424,"Balham, High Rd","+442086758350 "
-0.14789,51.4514,"South Clapham, Balham Hill","+442072282545 "
-0.14335,51.49596,"London, Victoria Stn E","+442076309529 "
-0.16291,51.52234,"London, Marylebone Stn","+442077247467 "
-0.14924,51.51425,"London, Bond St Stn",""
-0.14267,51.50691,"London, Green Park","+442074910690 "
-0.13343,51.51958,"London, Tottenham Court Rd","+442072299515 "
-0.13228,51.52795,"London, Euston Stn","+442073888798 "
-0.12303,51.53232,"London, Kings Cross Stn",""
-0.1137,51.50343,"Londin, Waterloo Stn","+442079280465 "
-0.1007,51.51567,"London, Paternoster Sq","+442072362402 "
-0.02539,51.40954,"Beckenham, High St","+442086630682 "
-0.01863,51.37657,"West Wickham, High St","+442087772681 "
-0.08384,51.50494,"London The More","+442073579489 "
-0.08189,51.51968,"London, Liverpool St Stn","+442072472190 "
-0.01807,51.50264,"Canary Wharf, Bank St","+442075132839 "
-0.42428,51.57417,"Ruislip, High St","+441895624143 "
-0.27693,51.65533,"Borehamwood, Shenley Rd","+442089052974 "
-0.24897,51.61412,"Mill Hill, The Broadway","+442089068220 "
-0.50323,51.94884,"Toddington, M1 MWSA SB","Access Rd."
-0.50147,51.94582,"Toddington, M1 MWSA NB","+441525878345 Access Rd."
-0.27727,51.94946,"Hitchin, Bancroft","+441462458583 "
-0.12462,51.57787,"Crouch End, Crouch End Hill","+442083476283 "
-0.22705,51.97825,"Letchworth, Commerce Way","+441462689152 "
0.19233,51.27216,"Sevenoaks, High St","+441732743128 "
0.05304,51.64517,"Loughton, High Rd","+442085086723 "
-0.43217,53.84262,"Beverley, Market Pl","+441482880155 "
0.13306,52.20641,"Cambridge Grafton Centre","+441223357841 "
0.13688,52.19431,"Cambridge, Rail Station",""
-1.52231,54.13696,"Ripon, Moss Arcade","+441765609096 "
-1.09225,53.95825,"York, Rail Station",""
-1.046,53.98906,"York, Monks Cross Dr","+441904659099 "
-3.19403,51.5268,"Llanishen, Ty Glas Ave","+442920754240 "
-1.77829,50.7351,"Christchurch, High St","+441202482070 "
-1.58244,54.80735,"Durham, Arnison Centre","+44191843715 Car Park Access"
-1.15107,51.89811,"Bicester, Sheep St","+441869248187 "
0.04051,51.30786,"Biggin Hill, Main Rd",""
-0.97483,51.46756,"Caversham, Church St","+441189476324 "
-1.96467,51.71634,"Cirencester, Dyer St","+441285651789 "
-6.67219,55.13112,"Coleraine, Abbey St",""
-1.99322,51.35275,"Devizes, Maryport St","+441380724952 "
-3.21033,55.93473,"Morningside, Bruntsfield Pl","+441314477369 "
-0.07451,51.79684,"Hertford, Fore St","+441992535515 "
-1.4333,54.33813,"Northallerton, High St","+441609779697 "
-2.88653,53.56672,"Ormskirk, Aughton St","+441695574278 "
0.02514,51.59359,"South Woodford, George Ln",""
-0.26668,52.22847,"St Neots, Cambridge St","+441480405914 "
-2.15735,51.99368,"Tewkesbury, High St","+441684299014 "
-3.52951,50.46723,"Torquay, Union Sq","+441803212946 "
-2.2089,51.32022,"Trowbridge, The Shires","+441225766578 "
-5.87399,54.59594,"BallyhackamoreUpper Newtownards Rd",""
-0.01019,51.48202,"Greenwich, Church St","+442072282545 "
-3.98832,51.65309,"Swansea, Parc Fforest-Fach","+441792588901 "
-0.15323,52.78853,"Spalding, Winfrey Ave","+441775760351 "
-1.20691,52.77388,"Loughborough, The Rushes",""
-0.47609,52.65302,"Stamford, High St","+441780767936 "
-2.09993,51.91536,"Cheltenham, Kingsditch","+441242529823 "
