-0.02017,51.50507,"Canary Wharf","+442075130513 Cabot Place East, Canary Wharf, E14 4QT"
0.00732,51.46694,"Blackheath","+442083182595 64-66 Tranquil Vale, Blackheath"
-0.08049,51.50972,"Byward Street","+442076265025 London EC3R 7QN"
-2.23361,53.32534,"Wilmslow, Alderley Rd","+441625540055 "
-0.47792,52.65011,"Stamford","+441780767902 "
-1.39781,50.89811,"Southampton, 32 Oxford St","+442380499090 "
-2.70209,53.75748,"Preston, Winckley St","+441772201580 "
-2.96277,53.73684,"Lytham St Annes, 82 Clifton St","+441253738542 "
-2.99937,53.6519,"Southport, 671 Lord St","+441704501636 "
-2.42565,53.57856,"Bolton, 8 Wood St","+441204528776 "
-2.27576,53.52339,"Prestwich","+441617984794 130 Bury New Road, M25 0AA"
-2.34881,53.46629,"Trafford Centre","+441617472121 Unit R8a, M17 8EQ"
-2.29307,53.47074,"Salford Quays","+441618773585 G38 The Lowry Designer Outlet, M50 3AG"
-2.74778,54.32821,"Kendal","+441539728598 6 Wainwrights Yard, LA9 4DP"
-2.93349,54.89252,"Carlisle","+441228599638 21 Lowther Street, CA3 8ES"
-1.82234,53.92467,"Ilkley, Station Plaza","+441943817776 "
-2.9882,53.40701,"Liverpool","+441512364987 11 Victoria Street, L2 5QQ"
-3.09563,53.32724,"Heswall","+441513426247 131-133 Telegraph Road, CH60 0AH"
-2.24239,53.48505,"Manchester Triangle","+441618346130 Exchange Square, M4 3TR"
-2.24706,53.48092,"Manchester South King Street","+441618340145 Old Colony House, M2 6DQ"
-2.23645,53.48032,"Manchester Piccadilly Gardens","+441612371811 M1 1RG"
-1.53537,52.2881,"Leamington Spa","+441926886866 168 The Parade, Royal Leamington Spa CV32 4AE"
-1.89406,52.47781,"Birmingham Bullring","+441216437209 Level 7 & 9, Birmingham B5 4BU"
-1.89265,52.48363,"Birmingham The Citadel","+441212360221 Corporation Street, Birmingham B4 6QB"
-1.82709,52.55808,"Sutton Coldfield","+441213549261 5 Birmingham Road, Sutton Coldfield B72 1QQ"
-3.20907,55.95836,"Edinburgh Deanhaugh Street","+441313327229 1 Deanhaugh Street, Edinburgh EH4 1LU"
-3.18729,55.95076,"Edinburgh Northbridge","+441315576411 23 Northbridge, Edinburgh EH1 1SB"
-3.20981,55.9511,"Edinburgh Queensferry Street","+441312258863 32 Queensferry Street, Edinburgh EH2 4QS"
-3.16896,55.97589,"Edinburgh Leith","+441315544332 38 Waterview House, Leith EH6 6QU"
-3.17807,55.95047,"Edinburgh Holyrood","+441315575734 111 Holyrood Road, Edinburgh EH8 8AU"
-4.26673,55.86608,"Glasgow Sauchiehall Street","+441413326965 436 Sauchiehall Street, Glasgow G2 3JD"
-4.25214,55.86071,"Glasgow Queen Street","+441412213333 151 Queen Street, Glasgow G1 3BJ"
-4.36971,55.87772,"Glasgow, Braehead","+441418864996 15 Xscape Centre"
-2.79642,56.34007,"St Andrews","+441334477109 3-4 Logies Lane, St Andrews KY16 9NL"
-3.43482,56.39715,"Perth","+441738628733 16 South Methven Street, Perth PH1 5PE"
0.00109,51.54284,"Stratford East London","+442085341700 Theatre Square, Salway Road, Stratford, London, E15 1BX"
-2.10901,57.14383,"Aberdeen, Union Street",""
-1.43352,54.3372,"Northallerton","141 High Street, Northallerton, DL7 8PE"
-3.16443,51.46324,"Cardiff Bay","+442920472006 "
-3.18039,51.48078,"Cardiff","+442920233091 "
-0.24336,52.57229,"Peterborough","+441733562984 8 Cathedral Square, Peterborough, PE1 1XH"
-0.14587,51.35841,"Wallington","+442086697285 40 Stafford Road, Wallington, Surrey, SM6 9AA"
-2.99021,53.39848,"Liverpool, Albert Dock","Pavilion Building, Kings Waterfront"
-2.88747,53.19004,"Chester","The Exchange, St John Street, CH1 1DD"
-1.07799,53.92176,"York, McArthur Glen","Unit F7 McArthur Glen Retail Park"
-2.10227,57.14742,"Aberdeen","47 Belmont Street, Aberdeen, AB10 1JS"
-1.90602,52.47589,"Birmingham, Mailbox","124/126 Waterside Street, B1 1RQ"
-4.06035,51.08035,"Barnstaple, High St","+441271378553 "
0.57105,51.86896,"Braintree, Freeport","+441376528789 Car Park Access"
0.47422,51.73119,"Chelmsford, Moulsham St","+441245491466 "
-2.98761,53.0445,"Wrexham, Eagles Meadow",""
-4.14642,50.36933,"Plymouth, Derry's Cross","+441752229413 "
1.15336,52.05875,"Ipswich, Lloyds Ave",""
1.15863,52.05258,"Ipswich, Regatta Quay",""
0.71469,52.24483,"Bury St Edmunds, 40 Abbeygate St",""
0.89946,51.8917,"Colchester, Stockwell",""
-1.67241,54.95952,"Gateshead Metro Centre, Yellow Car Park",""
-1.50859,52.40748,"Coventry, Pizza Express","+442476633156 10a Hay Ln"
-1.53832,53.99191,"Harrogate, Albert St","+441423531041 "
-2.21675,53.39383,"Cheadle, High St","+441614911442 Car Parking"
-2.11727,52.8077,"Stafford, 3 Market Sq","+441785256276 "
-3.19253,55.94898,"Edinburgh, 59/63 George IV Bridge","+441312259669 "
-3.51721,55.8819,"Livingston, 2 McArthur Glen","+441506417543 "
-2.11319,51.45726,"Chippenham, 23-24 Market Pl","+441249445953 "
-1.73272,51.41927,"Marlborough, 37 High St","+441672519229 "
-1.77727,51.55247,"Swindon, 5 Bath Rd","+441793484300 "
-1.97059,51.71622,"Cirencester, 28 Castle St","+441285655655 "
-2.36258,51.38227,"Bath, 1 Barton St","+441225420119 "
-2.59493,51.45422,"Bristol, 35 Corn St","+441179300239 "
-2.59824,51.45157,"Bristol, Harbourside","+441179273622 Explorer Ln"
-1.1123,51.25059,"Basingstoke, The Whitehouse","+441256354439 "
-1.98733,50.71346,"Poole, 30 High St","+441202671923 "
-1.58575,52.28209,"Warwick, 33-35 Jury St","+441926407895 "
-2.06176,52.33422,"Bromsgrove, High St","+441527570880 "
-0.32829,51.23388,"Dorking, High St","+441306888236 "
-0.10603,51.00008,"Haywards Heath, 22 The Broadway","+441444456627 "
-1.08658,53.96043,"York, River House","+441904672904 "
-2.24191,53.47559,"Manchester, Oxford St","+441612286665 "
-2.98763,53.40434,"Liverpool, One Centre","+441517079977 Unit P1, 13b Paradise St"
-1.41465,53.40144,"Sheffield, Centertainment","+441142441999 "
-0.84357,51.28006,"Fleet, Fleet Rd","+441252813777 "
-0.34079,53.74138,"Hull, Princes Quay","+441482212144 "
-3.05174,53.81777,"Blackpool, 86-94 Church St","+441253299818 "
-3.17851,55.98013,"Leith, Ocean Terminal Shopping Centre","+441315550606 "
-1.64223,53.8368,"Horsforth, 4-6 Town St","+441132588077 "
-1.6902,55.16761,"Morpeth, 4 Market Pl","+441670512855 "
-1.33897,53.71048,"Glasshoughton, XScape",""
-0.5644,51.31731,"Woking, 65 Goldsworth Rd","+441483750310 "
-1.86142,53.72487,"Halifax, Broad Street Plaza",""
-0.81359,51.81792,"Aylsebury, 58 Kingsbury","+441296399867 "
-1.82775,52.41289,"Shirley, Parkgate","+441217332255 "
-3.1048,55.93444,"Edinburgh, Fort Kinnaird",""
-0.07605,51.50801,"Copyright PocketGPSWorld.com",""
